X,Y
1.4,43.60000003
-74,45.60000003
-157.4,70.50000003
-156.65,71.30000003
-156.65,71.30000003
-149.9,70.50000003
-149.6,68.60000003
-5.3,55.50000003
-79.8,43.30000003
-63.3,44.45000003
-63.3,44.45
8.2,48.60000003
8.5,2.6168E-08
8.4,48.50000003
5.8,45.60000003
7.2,2.6168E-08
-3.1,11.20000003
107.6,-6.899999974
-70.1,-20.29999997
-2.3,46.30000003
-2.3,46.3
-111.9,28.80000003
-109.1,25.70000003
-111.3,26.00000003
-0.85,27.40000003
-113.5,31.30000003
-108.9,37.80000003
-108.9,37.8
-89.6,-0.899999974
147.4,-1.999999974
166.9,-0.499999974
5.4,43.50000003
1.4,43.60000003
-8.67,70.93000003
11.93,78.92000003
19.02,74.52000003
14.425,67.26500003
14.425,67.265
9.6,63.70000003
11.1,60.20000003
3.22,56.53000003
5.67,58.87000003
10.72,59.95000003
22.13,65.55000003
14.5,63.18000003
17.45,62.53000003
12.5,57.67000003
18.35,57.65000003
26.65,67.37000003
25.67,62.40000003
23.5,60.82000003
-1.18,60.13000003
-7.37,57.35000003
-6.32,58.22000003
-3.57,57.65000003
-2.53,57.07000003
-2.2,57.20000003
-3.2,55.32000003
-2.87,56.38000003
-3.4,54.32000003
-1.87,55.02000003
-1.6,55.42000003
-1.53,54.30000003
-3.05,53.57000003
-1.25,53.00000003
-0.52,53.17000003
-2.67,52.80000003
1.35,52.77000003
1.68,52.68000003
-4,52.42000003
-4.57,52.13000003
0.97,52.12000003
0,51.75000003
0,51.75000003
0.83,51.55000003
-1.8,51.20000003
-5.32,50.22000003
0.32,50.90000003
-6.34,54.50000003
-6.1,54.48000003
-10.25,51.93000003
-7.33,55.37000003
-22.6,63.97000003
-68.75,76.53000003
-52.85,68.70000003
-50.8,67.00000003
-45.42,61.18000003
-16.67,81.60000003
-18.77,76.77000003
-21.95,70.48000003
-37.63,65.60000003
-6.77,62.02000003
9.125,56.29000003
9.125,56.29
8.25,55.58000003
12.67,55.63000003
12.53,55.77000003
4.42,52.17000003
4.78,52.92000003
4.92,53.25000003
5.18,52.10000003
2.65,51.08000003
4.35,50.80000003
4.77,50.75000003
5.07,50.00000003
5.4,50.03000003
6.18,50.47000003
6.95,46.82000003
8.53,47.48000003
2.33,51.05000003
3.2,49.82000003
-4.42,48.45000003
-1.72,48.07000003
0.1,48.45000003
2,48.77000003
2.4,48.73000003
3.75,48.50000003
6.22,48.68000003
0.72,47.45000003
1.75,47.98000003
2.37,47.07000003
3.55,47.80000003
